lr_rank,rider,Team,rating,Pct25Time,WinScore
175,Tiller Rasmus,Uno-X Mobility,0.081,0.33299999999999996,0.09
176,Paret-Peintre Aurelien,Decathlon AG2R La Mondiale Team,0.08,0.25,0.06
177,Perichon Pierre-Luc,,0.079,0.222,0.07
178,Meurisse Xandro,Alpecin-Deceuninck,0.079,0.14300000000000002,0.07
179,Bevin Patrick,Team dsm-firmenich PostNL,0.079,0.5,0.09
180,Ludvigsson Tobias,Q36.5 Pro Cycling Team,0.079,0.429,0.07
181,Martinez Lenny,Groupama-FDJ,0.079,0.2,0.06
182,Bohli Tom,Tudor Pro Cycling Team,0.078,0.182,0.1
183,Christen Jan,UAE Team Emirates,0.078,0.25,0.07
184,Walscheid Max,Team Jayco-AlUla,0.076,0.625,0.07
185,Godon Dorian,Decathlon AG2R La Mondiale Team,0.075,0.33299999999999996,0.08
186,Johansen Julius,Sabgal / Anicolor,0.073,0.222,0.08
187,Mihkels Madis,Intermarche-Wanty,0.071,0.25,0.08
188,Sutterlin Jasha,Bahrain Victorious,0.071,0.28600000000000003,0.05
189,Shaw James,EF Education-EasyPost,0.071,0.5,0.05
190,Haga Chad,Retired,0.07,0.4,0.11
191,Germani Lorenzo,Groupama-FDJ,0.069,0.33299999999999996,0.07
192,Touze Damien,Decathlon AG2R La Mondiale Team,0.069,0.16699999999999998,0.08
193,Garcia Raul,BORA-hansgrohe,0.068,0.5,0.07
194,Pinot Thibaut,Retired,0.067,0.16699999999999998,0.05
195,Sagan Peter,Retired,0.067,0.16699999999999998,0.05
196,Groves Kaden,Alpecin-Deceuninck,0.066,0.125,0.05
197,Battistella Samuele,Astana Qazaqstan Team,0.064,0.1,0.04
198,Venturini Clement,ARKEA-B&B HOTELS,0.062,0.14300000000000002,0.06
199,Lazkano Oier,Movistar Team,0.062,0.25,0.05
200,Higuita Sergio,BORA-hansgrohe,0.062,0.273,0.05
201,Madouas Valentin,Groupama-FDJ,0.06,0.091,0.04
202,Grondin Donavan,ARKEA-B&B HOTELS,0.059000000000000004,0.2,0.06
203,Berthet Clement,Decathlon AG2R La Mondiale Team,0.059000000000000004,0.14300000000000002,0.06
204,Baroncini Filippo,UAE Team Emirates,0.059000000000000004,0.16699999999999998,0.05
205,Berckmoes Jenno,Lotto Dstny,0.057999999999999996,0.375,0.08
206,Rochas Remy,Groupama-FDJ,0.055999999999999994,0.222,0.06
207,Dujardin Sandy,,0.055999999999999994,0.25,0.1
208,Bagioli Andrea,Lidl-Trek,0.052000000000000005,0.111,0.04
209,Van Gils Maxim,Lotto Dstny,0.052000000000000005,0.16699999999999998,0.05
210,Riesebeek Oscar,Alpecin-Deceuninck,0.052000000000000005,0.1,0.05
211,Carthy Hugh,EF Education-EasyPost,0.051,0.429,0.03
212,van Uden Casper,Team dsm-firmenich PostNL,0.051,0.16699999999999998,0.04
213,De Marchi Alessandro,,0.051,0.091,0.04
214,Page Hugo,Intermarche-Wanty,0.051,0.111,0.04
215,Valter Attila,Team Visma | Lease a Bike,0.05,0.25,0.05
216,Padun Mark,Team Corratec - Vini Fantini,0.051,0.1,0.04
217,Onley Oscar,Team dsm-firmenich PostNL,0.05,0.4,0.04
218,Taaramae Rein,,0.049,0.182,0.04
219,Teuns Dylan,Israel-Premier Tech,0.049,0.33299999999999996,0.05
220,Mayrhofer Marius,Tudor Pro Cycling Team,0.049,0.125,0.04
221,Leroux Samuel,,0.048,0.6,0.1
222,De Buyst Jasper,Lotto Dstny,0.048,0.2,0.05
223,Maestri Mirco,,0.048,0.125,0.04
224,De Pestel Sander,,0.047,0.5,0.08
225,Frigo Marco,,0.047,0.25,0.04
226,Raugel Antoine,,0.045,0.2,0.08
227,Milesi Lorenzo,,0.045,0.5,0.03
228,Uran Rigoberto,,0.045,0.111,0.03
229,Charmig Anthon,,0.045,0.5,0.05
230,De Gendt Thomas,,0.044000000000000004,0.273,0.04
231,Meeus Jordi,BORA-hansgrohe,0.040999999999999995,0.1,0.04
232,Menten Milan,,0.040999999999999995,0.125,0.05
233,Dunbar Edward,,0.040999999999999995,0.33299999999999996,0.03
234,Beullens Cedric,,0.04,0.25,0.04
235,Theuns Edward,,0.039,0.16699999999999998,0.03
236,Perez Anthony,,0.038,0.16699999999999998,0.04
237,Scotson Miles,,0.038,0.28600000000000003,0.04
238,Ledanois Kevin,,0.036000000000000004,0.16699999999999998,0.04
239,Haller Marco,BORA-hansgrohe,0.036000000000000004,0.2,0.03
240,Carapaz Richard,EF Education-EasyPost,0.036000000000000004,0.28600000000000003,0.04
241,Pluimers Rick,,0.035,0.33299999999999996,0.06
242,Gall Felix,,0.035,0.222,0.04
243,Fretin Milan,,0.034,0.2,0.04
244,Peak Barnabas,,0.034,0.25,0.04
245,Izagirre Gorka,Cofidis,0.034,0.125,0.03
246,Strong Corbin,,0.032,0.16699999999999998,0.03
247,Philipsen Jasper,Alpecin-Deceuninck,0.032,0.222,0.02
248,Scotson Callum,,0.03,0.125,0.02
249,Oldani Stefano,,0.03,0.14300000000000002,0.02
250,Bystrom Sven Erik,,0.03,0.1,0.03
251,Burgaudeau Mathieu,,0.028999999999999998,0.222,0.03
252,Aranburu Alex,,0.027000000000000003,0.2,0.03
253,Rota Lorenzo,,0.027000000000000003,0.111,0.02
254,Moniquet Sylvain,,0.026000000000000002,0.1,0.03
255,Honore Mikkel,,0.027000000000000003,0.091,0.02
256,Geschke Simon,,0.026000000000000002,0.083,0.02
257,Schwarzmann Michael,,0.026000000000000002,0.16699999999999998,0.03
258,Wurtz Schmidt Mads,,0.026000000000000002,0.14300000000000002,0.02
259,Syritsa Gleb,,0.026000000000000002,0.4,0.03
260,Molard Rudy,Groupama-FDJ,0.026000000000000002,0.125,0.02
261,Kamp Alexander,,0.025,0.1,0.02
262,Lapeira Paul,,0.025,0.14300000000000002,0.02
263,Konrad Patrick,,0.025,0.222,0.02
264,Bardet Romain,,0.025,0.222,0.02
265,Kogut Oded,,0.024,0.25,0.03
266,Houle Hugo,,0.024,0.25,0.02
267,Renard Alexis,,0.024,0.16699999999999998,0.03
268,Tronchon Bastien,,0.024,0.16699999999999998,0.02
269,Sanchez Luis Leon,,0.023,0.4,0.02
270,Vink Michael,,0.023,0.25,0.03
271,Dainese Alberto,,0.023,0.1,0.02
272,Ezquerra Jesus,,0.023,0.25,0.03
273,Senechal Florian,,0.022000000000000002,0.222,0.02
274,Ballerini Davide,,0.022000000000000002,0.16699999999999998,0.02
275,Schultz Nick,,0.022000000000000002,0.125,0.02
276,Brustenga Marc,,0.02,0.2,0.02
277,Parisini Nicola,,0.02,0.16699999999999998,0.04
278,Tusveld Martijn,,0.019,0.091,0.01
279,Barrenetxea Jon,,0.019,0.25,0.02
280,Rutsch Jonas,,0.019,0.2,0.02
281,Gruzdev Dmitriy,,0.019,0.125,0.02
282,Hoelgaard Markus,,0.018000000000000002,0.2,0.02
283,Guerreiro Ruben,,0.018000000000000002,0.16699999999999998,0.02
284,Bauer Jack,,0.019,0.111,0.02
285,Gallopin Tony,,0.018000000000000002,0.182,0.01
286,Amador Andrey,,0.018000000000000002,0.111,0.02
287,Vermeersch Gianni,,0.017,0.16699999999999998,0.01
288,Bouchard Geoffrey,,0.017,0.125,0.01
289,Berrade Urko,Equipo Kern Pharma,0.016,0.4,0.03
290,Schar Michael,,0.015,0.111,0.02
291,Leysen Senne,,0.013999999999999999,0.111,0.01
292,Vliegen Loic,,0.013999999999999999,0.14300000000000002,0.02
293,Devenyns Dries,,0.013000000000000001,0.091,0.01
294,Rodriguez Oscar,,0.013000000000000001,0.25,0.01
295,Doull Owain,,0.013000000000000001,0.14300000000000002,0.01
296,Fraile Omar,INEOS Grenadiers,0.012,0.2,0.01
297,Bonnamour Franck,,0.011000000000000001,0.111,0.01
298,Voisard Yannis,,0.01,0.14300000000000002,0.01
299,Felline Fabio,,0.01,0.33299999999999996,0.01
300,Reinders Elmar,,0.009000000000000001,0.2,0.01
301,Van Avermaet Greg,,0.009000000000000001,0.125,0.01
302,Roosen Timo,,0.009000000000000001,0.2,0.01
303,Lund Andresen Tobias,,0.009000000000000001,0.16699999999999998,0.01
304,Harper Chris,,0.008,0.125,0.01
305,Van Tricht Stan,,0.008,0.28600000000000003,0.01
306,Ciccone Giulio,,0.008,0.111,0.01
307,Rickaert Jonas,,0.006999999999999999,0.2,0.01
308,Vansevenant Mauri,Soudal Quick-Step,0.006,0.111,0.01
309,De Wilde Gilles,,0.006,0.16699999999999998,0.01
310,Russo Clement,,0.006,0.14300000000000002,0.0
311,Eenkhoorn Pascal,,0.006,0.14300000000000002,0.01
312,Fetter Erik,,0.006,0.16699999999999998,0.0
313,Bernard Julien,,0.006,0.273,0.01
314,De Gendt Aime,,0.005,0.16699999999999998,0.01
315,Meintjes Louis,,0.005,0.111,0.0
316,Stork Florian,,0.004,0.1,0.0
317,Leemreize Gijs,,0.004,0.1,0.0
318,Declercq Tim,,0.003,0.111,0.0
319,Majka Rafal,,0.003,0.222,0.0
320,Rex Laurenz,,0.003,0.16699999999999998,0.0
321,Hamilton Lucas,,0.002,0.28600000000000003,0.0
322,Kluge Roger,,0.002,0.25,0.0
323,Sweeny Harry,,0.002,0.111,0.0
324,Petit Adrien,,0.002,0.14300000000000002,0.0
325,Gesink Robert,,0.002,0.125,0.0
326,Miquel Delgado Pau,,0.002,0.2,0.0
327,Van Asbroeck Tom,,0.002,0.16699999999999998,0.0
328,Zukowsky Nickolas,,0.002,0.2,0.0
329,Hamilton Chris,,0.001,0.091,0.0
330,Aleotti Giovanni,,0.001,0.125,0.0
331,Morkov Michael,,0.001,0.1,0.0
332,Vendrame Andrea,Decathlon AG2R La Mondiale Team,0.001,0.111,0.0
333,de Kleijn Arvid,,0.001,0.16699999999999998,0.0
334,Donovan Mark,,0.001,0.125,0.0
335,Moschetti Matteo,,0.001,0.16699999999999998,0.0
336,Reichenbach Sebastien,,0.001,0.111,0.0
337,Kristoff Alexander,,0.001,0.1,0.0
338,Muff Frederik,Team ColoQuick,0.0,1.0,0.4
339,Turner Ben,INEOS Grenadiers,0.0,0.33299999999999996,0.23
340,Nibali Vincenzo,,0.0,0.33299999999999996,0.12
341,Roux Anthony,,0.0,0.33299999999999996,0.08
342,Dekker David,,0.0,0.33299999999999996,0.09
343,Lemmen Bart,Team Visma | Lease a Bike,0.0,0.33299999999999996,0.14
344,Ballerstedt Maurice,,0.0,0.33299999999999996,0.08
345,Silva Joaquim,,0.0,0.33299999999999996,0.08
346,Polanc Jan,,0.0,0.33299999999999996,0.07
347,Boven Lars,,0.0,0.33299999999999996,0.08
348,Jeanniere Emilien,,0.0,1.0,0.12
349,Doubey Fabien,TotalEnergies,0.0,0.33299999999999996,0.03
350,Chzhan Igor,,0.0,0.33299999999999996,0.03
351,Vandenbranden Noah,Team Flanders - Baloise,0.0,0.33299999999999996,0.14
352,Scott Cameron,,0.0,0.33299999999999996,0.05
353,Schachmann Maximilian,,0.0,0.33299999999999996,0.05
354,Ostergaard Mads,,0.0,0.33299999999999996,0.06
355,Svrcek Martin,,0.0,0.33299999999999996,0.02
356,Hecht Gage,,0.0,0.33299999999999996,0.01
357,Janse van Rensburg Reinardt,,0.0,0.33299999999999996,0.0
358,Kelemen Petr,,0.0,0.33299999999999996,0.0
359,Stockman Abram,,0.0,0.33299999999999996,0.0
360,Heming Mika,,0.0,0.667,0.01
361,Vanmarcke Sep,,0.0,0.33299999999999996,0.0
362,Segaert Alec,,0.0,1.0,0.25
363,Knolle Jon,,0.0,0.5,0.09
364,Makogon Vladyslav,,0.0,0.5,0.02
365,Sanchez Mayo Pelayo,,0.0,0.5,0.06
366,Otruba Jakub,,0.0,0.5,0.09
367,del Toro Isaac,UAE Team Emirates,0.0,0.5,0.29
368,Morgado Antonio,,0.0,1.0,0.2
369,Hagenes Per Strand,,0.0,0.5,0.07
370,Walker Max,Astana Qazaqstan Development Team,0.0,0.5,0.15
371,Dowsett Alex,,0.0,0.0,0.0
372,Valverde Alejandro,,0.0,0.0,0.0
373,Canal Carlos,Movistar Team,0.0,0.5,0.19
374,Staune-Mittet Johannes,,0.0,1.0,0.27
375,Nerurkar Lukas,,0.0,0.5,0.1
376,Juaristi Txomin,,0.0,1.0,0.31
377,Arrieta Igor,,0.0,0.5,0.09
378,Antunes Tiago,,0.0,0.5,0.07
379,Svestad-Bardseng Embret,,0.0,1.0,0.03
380,Woods Michael,Israel-Premier Tech,0.0,0.0,0.0
381,Ahlsson Jacob,,0.0,1.0,0.43
382,Barta Jan,,0.0,1.0,0.32
383,Bernard Thibaut,,0.0,0.5,0.01
384,Bezza Quentin,,0.0,1.0,0.25
385,Dumoulin Tom,,0.0,1.0,0.84
386,Eddy Patrick,Team dsm-firmenich PostNL,0.0,1.0,0.26
387,Gaze Samuel,Alpecin-Deceuninck,0.0,1.0,0.46
388,Gross Felix,,0.0,1.0,0.21
389,Hermans Ben,,0.0,1.0,0.2
390,Hulgaard Morten,,0.0,1.0,0.71
391,Kangert Tanel,,0.0,0.5,0.26
392,Klaris Magnus Bak,,0.0,0.5,0.09
393,Knight Oliver,,0.0,0.5,0.02
394,Le Huitouze Eddy,,0.0,0.5,0.08
395,Lopez Miguel Angel,,0.0,0.5,0.19
396,Malmberg Matias,,0.0,1.0,0.06
397,Mikutis Aivaras,,0.0,1.0,0.02
398,Moriarty James,,0.0,1.0,0.06
399,Porte Richie,,0.0,1.0,0.27
400,Rafferty Darren,,0.0,1.0,0.01
401,Schelling Ide,,0.0,1.0,0.26
402,Sheehan Riley,,0.0,1.0,0.25
403,Siskevicius Evaldas,,0.0,1.0,0.16
404,Soderqvist Jakob,Lidl - Trek Future Racing,0.0,1.0,0.72
405,Steinhauser Georg,EF Education-EasyPost,0.0,0.5,0.11
406,Stokbro Andreas,,0.0,1.0,0.11
407,Svarre Tobias,,0.0,1.0,0.01
408,Tanfield Harry,,0.0,1.0,0.06
409,Toft Madsen Martin,,0.0,0.5,0.06
410,van der Lijke Nick,,0.0,1.0,0.32
411,van der Tuuk Axel,,0.0,1.0,0.27
412,Watson Sam,Groupama-FDJ,0.0,1.0,0.48
413,Carboni Giovanni,,0.0,1.0,0.01
414,Megens Brian,,0.0,1.0,0.32
415,Ribeiro da Cruz Mathias,,0.0,1.0,0.37
